"area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"C1966","Deltona-Daytona Beach-Ormond Beach, FL MSA",1.3,1.3,0.82,0.86,0.68,1.47,0.67,0.61,1.07,0.77,NA,1.07,1,0.39
"C1974","Denver-Aurora-Lakewood, CO MSA",1.3,0.84,1.28,0.81,1.68,1.04,0.56,0.73,0.99,1.3,NA,1.06,0.97,0.06
"C1982","Detroit-Warren-Dearborn, MI MSA",0.74,1.05,0.92,1.1,0.68,0.93,1.45,0.11,1,1.4,NA,1.06,0.98,0.97
"C2094","El Centro, CA MSA",0.73,0.88,0.36,1.76,0.25,0.6,0.21,14.6,0.41,0.27,NA,0.66,0.98,1.27
"C2114","Elkhart-Goshen, IN MSA",0.53,0.59,0.38,3.46,0.2,0.55,5.54,0.15,0.62,0.54,NA,0.59,0.77,0
"C2130","Elmira, NY MSA",0.77,1.25,0.69,1.29,0.55,0.85,1.66,0.67,0.97,0.46,NA,0.92,1.15,0.3
"C2166","Eugene, OR MSA",0.88,1.08,0.77,0.97,1.11,1.02,1.02,1.02,1.36,0.77,NA,0.98,1.04,0.05
"C2178","Evansville, IN-KY MSA",1.41,1.17,0.56,1.5,0.54,0.96,1.73,0.42,1.13,0.83,NA,0.96,1.03,0
"C2182","Fairbanks, AK MSA",1.88,0.93,0.6,0.84,0.66,1.06,0.18,1.54,0.79,0.44,NA,0.86,1.12,0.6
"C2238","Flagstaff, AZ MSA",0.75,1.01,0.38,0.74,0.38,2.02,0.81,0.24,0.69,0.38,NA,0.91,0.85,0.62
"C2242","Flint, MI MSA",0.71,1.34,0.73,0.84,1.46,1.02,1.02,0.12,0.97,0.79,NA,1.05,1.11,0.77
"C2266","Fort Collins, CO MSA",1.4,0.69,0.75,1.08,0.94,1.25,0.99,0.6,0.89,0.95,NA,0.9,0.89,0.07
"C2342","Fresno, CA MSA",0.89,1.06,0.63,1.62,0.54,0.78,0.78,9.07,0.94,0.61,NA,0.83,0.9,1.67
"C2354","Gainesville, FL MSA",0.79,1.23,0.86,0.56,0.58,1.05,0.39,0.8,0.85,0.68,NA,0.9,0.78,0.1
"C2358","Gainesville, GA MSA",0.91,1.08,0.58,1.87,0.4,0.82,2.64,0.23,0.58,0.64,NA,0.85,1,1.7
"C2402","Glens Falls, NY MSA",0.86,1.01,0.62,1.1,0.83,1.34,1.26,0.89,1.1,0.73,NA,0.94,0.9,0.82
