"","area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"123","C2214","Farmington, NM MSA",1.64,0.92,0.52,1.52,0.21,0.91,0.28,8.74,0.82,0.34,NA,0.79,1.07,NA
"124","C2218","Fayetteville, NC MSA",0.78,0.79,0.53,0.68,0.56,1.11,0.7,0.2,0.8,0.69,NA,0.84,0.99,NA
"125","C2222","Fayetteville-Springdale-Rogers, AR-MO MSA",NA,0.75,0.54,1.15,0.45,0.98,1.4,NA,0.56,1.41,NA,1.01,1.21,NA
"126","C2238","Flagstaff, AZ MSA",0.75,1.01,0.38,0.74,0.38,2.02,0.81,0.24,0.69,0.38,NA,0.91,0.85,0.62
"127","C2242","Flint, MI MSA",0.71,1.34,0.73,0.84,1.46,1.02,1.02,0.12,0.97,0.79,NA,1.05,1.11,0.77
"128","C2246","Florence, AL MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","C2250","Florence, SC MSA",0.63,0.96,0.79,1.01,0.54,1.01,1.31,0.35,0.95,0.7,NA,0.93,1.13,NA
"130","C2252","Florence-Muscle Shoals, AL MSA",1.09,0.82,0.77,1.6,0.39,1.07,2.05,0.45,0.71,0.48,NA,0.84,1.07,NA
"131","C2254","Fond du Lac, WI MSA",1.16,0.98,0.66,2.06,1.07,0.84,2.63,1.5,0.95,0.41,NA,0.82,0.98,NA
"132","C2266","Fort Collins, CO MSA",1.4,0.69,0.75,1.08,0.94,1.25,0.99,0.6,0.89,0.95,NA,0.9,0.89,0.07
"133","C2290","Fort Smith, AR-OK MSA",0.82,0.96,0.61,1.51,0.55,0.81,1.88,1.45,0.6,0.73,NA,0.88,1.13,NA
"134","C2302","Fort Walton Beach-Crestview-Destin, FL MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","C2306","Fort Wayne, IN MSA",1,1.21,0.95,1.48,NA,0.93,1.95,0.19,NA,0.69,NA,0.97,1.06,0
"136","C2342","Fresno, CA MSA",0.89,1.06,0.63,1.62,0.54,0.78,0.78,9.07,0.94,0.61,NA,0.83,0.9,1.67
"137","C2346","Gadsden, AL MSA",0.63,1.38,0.64,1.23,0.45,1,1.73,0.12,0.69,0.76,NA,0.96,0.94,NA
"138","C2354","Gainesville, FL MSA",0.79,1.23,0.86,0.56,0.58,1.05,0.39,0.8,0.85,0.68,NA,0.9,0.78,0.1
"139","C2358","Gainesville, GA MSA",0.91,1.08,0.58,1.87,0.4,0.82,2.64,0.23,0.58,0.64,NA,0.85,1,1.7
"140","C2390","Gettysburg, PA MSA",0.85,1.15,0.39,1.98,0.4,1.26,2.25,4,1.08,0.41,NA,0.84,0.83,NA
"141","C2402","Glens Falls, NY MSA",0.86,1.01,0.62,1.1,0.83,1.34,1.26,0.89,1.1,0.73,NA,0.94,0.9,0.82
"142","C2414","Goldsboro, NC MSA",0.8,1.09,0.53,1.38,0.52,0.86,1.55,2.22,0.79,0.4,NA,0.83,1.07,NA
"143","C2422","Grand Forks, ND-MN MSA",1.26,1.17,0.58,1.02,0.57,1.06,0.81,1.49,0.99,0.39,NA,0.92,1.17,NA
"144","C2426","Grand Island, NE MSA",1.1,0.73,0.76,1.73,0.52,0.83,2.15,1.16,0.94,0.51,NA,0.83,1.2,NA
"145","C2430","Grand Junction, CO MSA",1.42,1.08,0.9,1.08,0.57,1.13,0.54,3.27,0.93,0.65,NA,0.98,1.13,0.38
"146","C2434","Grand Rapids-Wyoming, MI MSA",0.84,1.04,0.75,1.77,0.47,0.81,2.38,0.97,1,1.06,NA,0.94,0.92,0.59
"147","C2442","Grants Pass, OR MSA",0.71,1.24,0.78,1.14,0.51,1.09,1.33,1.3,1.59,0.57,NA,0.99,1.06,0.07
"148","C2450","Great Falls, MT MSA",1.36,1.21,1,0.7,0.81,1.29,0.41,0.33,1.14,0.66,NA,1.05,1.13,0.03
"149","C2454","Greeley, CO MSA",2.04,0.6,0.76,2.24,0.33,0.77,1.42,7.89,0.73,0.7,NA,0.74,0.92,0.06
"150","C2458","Green Bay, WI MSA",0.94,0.92,1.25,1.57,NA,0.88,1.99,0.99,NA,0.83,NA,0.93,1,0
"151","C2466","Greensboro-High Point, NC MSA",0.85,0.92,0.89,1.34,0.73,0.9,1.8,0.15,0.8,1.04,NA,0.98,1.1,NA
"152","C2478","Greenville, NC MSA",0.89,0.78,0.64,0.89,0.6,1.15,0.93,0.57,0.58,0.63,NA,0.79,0.81,NA
"153","C2486","Greenville-Anderson-Mauldin, SC MSA",0.89,0.73,0.74,1.27,0.95,1,1.66,0.1,0.71,1.21,NA,0.95,1,NA
"154","C2502","Guayama, PR MSA",NA,0.91,0.31,NA,0.34,0.49,NA,NA,0.17,NA,NA,NA,1.07,NA
"155","C2506","Gulfport-Biloxi-Pascagoula, MS MSA",1.2,0.55,0.6,1.25,0.53,1.8,1.46,0.1,0.59,0.67,NA,0.85,0.84,NA
"156","C2518","Hagerstown-Martinsburg, MD-WV MSA",0.84,1,1.3,0.81,1.11,0.9,0.89,0.26,NA,0.61,NA,1.01,1.34,NA
"157","C2522","Hammond, LA MSA",0.54,0.98,0.61,0.61,0.46,1.13,0.67,0.42,1.12,0.41,NA,0.96,1.38,0.22
"158","C2526","Hanford-Corcoran, CA MSA",0.43,0.89,0.39,1.94,0.25,0.65,1.2,11.28,0.37,0.21,NA,0.57,0.65,1.21
"159","C2542","Harrisburg-Carlisle, PA MSA",0.67,1.08,1.19,0.68,0.63,0.92,0.77,0.2,1.13,0.97,NA,1.03,1.1,NA
"160","C2550","Harrisonburg, VA MSA",1.15,0.87,0.58,1.58,0.87,1.2,1.83,1.44,0.66,0.43,NA,0.86,1.08,0.16
"161","C2554","Hartford-West Hartford-East Hartford, CT MSA",0.76,1.15,1.73,NA,0.98,0.78,1.18,NA,1.09,0.91,NA,1.01,0.89,0.1
"162","C2562","Hattiesburg, MS MSA",0.8,0.98,0.71,0.76,NA,1.19,0.78,0.51,NA,0.65,NA,0.94,1.17,NA
"163","C2586","Hickory-Lenoir-Morganton, NC MSA",0.51,0.82,0.38,2.03,0.3,0.81,3.12,0.23,0.65,0.64,NA,0.78,1.02,NA
"164","C2594","Hilton Head Island-Bluffton-Beaufort, SC MSA",1.33,0.81,0.95,0.56,0.3,2.01,0.16,0.6,1.65,0.79,NA,1.08,1.03,NA
"165","C2598","Hinesville, GA MSA",NA,0.47,0.64,0.91,0.22,NA,NA,NA,0.86,0.4,NA,0.66,0.83,NA
"166","C2610","Holland-Grand Haven, MI MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","C2614","Homosassa Springs, FL MSA",1.74,1.58,0.6,0.68,0.56,1.24,0.15,0.45,0.91,0.64,NA,1.09,1.2,0.18
"168","C2618","Honolulu, HI MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","C2630","Hot Springs, AR MSA",1.01,1.37,0.7,0.84,0.7,1.72,0.79,0.55,0.87,0.57,NA,1.08,1.06,NA
"170","C2638","Houma-Thibodaux, LA MSA",1.14,0.7,0.8,1.6,0.31,0.81,1.15,5.9,0.68,0.62,NA,0.91,1.47,0.02
"171","C2642","Houston-The Woodlands-Sugar Land, TX MSA",1.6,0.8,0.91,1.3,NA,0.96,0.96,2.45,0.93,1.12,NA,0.97,1.07,NA
"172","C2658","Huntington-Ashland, WV-KY-OH MSA",1.21,1.37,0.59,1.01,0.51,0.98,NA,NA,0.86,0.66,NA,0.98,1.09,0.09
"173","C2662","Huntsville, AL MSA",0.76,0.59,0.52,1.02,0.61,0.88,1.27,0.25,0.6,1.63,NA,0.89,0.79,NA
"174","C2682","Idaho Falls, ID MSA",1.13,0.97,0.57,0.97,0.73,0.87,0.76,1.73,0.72,1.36,NA,1.04,1.21,0
"175","C2690","Indianapolis-Carmel-Anderson, IN MSA",0.98,0.95,1.1,0.95,NA,1,1.06,0.21,NA,1.1,NA,1.04,1.12,NA
"176","C2698","Iowa City, IA MSA",0.89,0.78,0.68,0.78,1.29,1.03,0.79,0.38,0.7,0.54,NA,0.82,0.94,NA
"177","C2706","Ithaca, NY MSA",0.41,2.79,0.6,0.69,0.45,0.82,0.77,1.12,1.06,0.48,NA,1.11,0.64,0.85
"178","C2710","Jackson, MI MSA",0.65,1.14,0.53,1.38,0.29,0.81,1.95,0.24,1.11,0.81,NA,0.94,1.14,0.48
