"","city_name","msa","odc_score","odc_rank","home_value","construction","ed_health","finance","goods","information","leis_hosp","manufacturing","mining","other_serv","pro_bus","service","trad_trans_util","unclassified"
"360",NA,"Topeka, KS MSA",NA,NA,129200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",NA,"Trenton, NJ MSA",NA,NA,283600,0.45,1.11,1.32,0.37,1,0.58,0.37,0.06,0.99,1.12,0.95,0.77,1.53
"362",NA,"Tucson, AZ MSA",NA,NA,165900,0.89,1.16,0.81,0.75,0.64,1.11,0.72,0.57,0.98,1,0.99,0.87,2.01
"363",NA,"Tyler, TX MSA",NA,NA,145500,0.86,1.46,0.84,0.9,1.13,0.98,0.7,2.28,1.13,0.6,1.04,1.13,0.08
"364",NA,"Utica-Rome, NY MSA",NA,NA,112200,0.53,1.38,0.99,0.82,0.7,0.81,1.06,0.32,0.91,0.47,0.9,0.89,0.79
"365",NA,"Valdosta, GA MSA",NA,NA,129800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",NA,"Victoria, TX MSA",NA,NA,131400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",NA,"Vineland-Bridgeton, NJ MSA",NA,NA,157300,0.93,1.11,0.39,1.64,0.4,0.57,1.63,4.03,0.81,0.42,0.8,1.1,1.76
"368",NA,"Visalia-Porterville, CA MSA",NA,NA,174300,0.66,0.55,0.46,2.41,0.32,0.65,0.88,17.41,0.61,0.44,0.64,0.93,1.7
"369",NA,"Waco, TX MSA",NA,NA,119300,1.27,1.04,0.96,1.41,0.49,0.93,1.66,0.34,0.83,0.72,0.9,0.94,0.09
"370",NA,"Walla Walla, WA MSA",NA,NA,193200,0.72,1.28,0.56,1.95,0.62,0.69,1.44,9.06,0.77,0.25,0.72,0.68,0.19
"371",NA,"Warner Robins, GA MSA",NA,NA,132800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",NA,"Watertown-Fort Drum, NY MSA",NA,NA,155600,0.9,1.02,0.52,0.76,0.8,1.06,0.66,0.89,1.14,0.37,0.88,1.1,0.83
"373",NA,"Wausau, WI MSA",NA,NA,151500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",NA,"Weirton-Steubenville, WV-OH MSA",NA,NA,88000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",NA,"Wenatchee, WA MSA",NA,NA,248900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",NA,"Wheeling, WV-OH MSA",NA,NA,103900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",NA,"Wichita Falls, TX MSA",NA,NA,98300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",NA,"Wichita, KS MSA",NA,NA,127800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",NA,"Williamsport, PA MSA",NA,NA,147500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",NA,"Wilmington, NC MSA",NA,NA,219400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",NA,"Winchester, VA-WV MSA",NA,NA,223700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",NA,"Winston-Salem, NC MSA",NA,NA,145100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",NA,"Worcester, MA-CT MSA",NA,NA,247600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",NA,"Yakima, WA MSA",NA,NA,163200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",NA,"York-Hanover, PA MSA",NA,NA,168800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",NA,"Youngstown-Warren-Boardman, OH-PA MSA",NA,NA,103000,0.84,1.27,0.59,1.25,0.44,1.03,1.61,0.35,0.95,0.69,0.98,1.12,0.04
"387",NA,"Yuba City, CA MSA",NA,NA,221700,0.86,1.04,0.54,1.34,0.38,0.88,0.55,7.74,0.63,0.48,0.81,0.97,2.17
"388",NA,"Yuma, AZ MSA",NA,NA,119400,0.77,0.72,0.48,1.84,0.39,0.8,0.38,14.23,0.58,0.72,0.72,0.82,0.67
"389","El Segundo, CA",NA,370,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Key Biscayne, FL",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Compton, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Malibu, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Manhattan Beach, CA",NA,380,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Santa Clarita, CA",NA,405,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Evanston, IL",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Falls Church, VA",NA,290,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Cary, NC",NA,45,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","San Juan, PR",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","West Covina, CA",NA,395,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Fredericksburg, VA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Law Vegas, NV",NA,1790,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Glendale, CA",NA,680,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Bell, CA",NA,365,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Miami-Dade County, FL",NA,740,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Summit, NJ",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Santa Monica, CA",NA,1560,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Culver City, CA",NA,700,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Deer Lodge, MT",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Vernon, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","St. Cloud, FL",NA,180,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Portsmouth, VA",NA,250,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Rolling Hills Estates, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Whittier, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Poquoson, VA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Burbank, CA",NA,100,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Calabasas, CA",NA,370,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","West Hollywood, CA",NA,700,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Chesapeake, VA",NA,305,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","New York City, NY",NA,1650,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Suffolk, VA",NA,60,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Smithfield, VA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Williamsburg, VA",NA,100,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Pasadena, CA",NA,640,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Denton, TX",NA,485,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Palo Alto, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Hampton, VA",NA,130,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","West Sacramento, CA",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Princeton, NJ",NA,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
