"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"235",NA,"Lafayette, LA MSA",NA,0.63,147100,490488
"236",NA,"Lake Charles, LA MSA",NA,NA,139700,205493
"237",NA,"Lake Havasu City-Kingman, AZ MSA",NA,0.73,139400,204737
"238",NA,"Lakeland-Winter Haven, FL MSA",NA,0.39,123100,650092
"239",NA,"Lancaster, PA MSA",NA,0.66,197400,536624
"240",NA,"Lansing-East Lansing, MI MSA",NA,0.68,138500,472276
"241",NA,"Laredo, TX MSA",NA,0.32,117600,269721
"242",NA,"Las Cruces, NM MSA",NA,0.6,146700,214295
"243",NA,"Las Vegas-Henderson-Paradise, NV MSA",NA,0.59,217300,2114801
"244",NA,"Lawrence, KS MSA",NA,0.76,179700,118053
"245",NA,"Lawton, OK MSA",NA,NA,118200,130581
"246",NA,"Lebanon, PA MSA",NA,0.79,162700,137067
"247",NA,"Lewiston-Auburn, ME MSA",NA,0.55,147500,107233
"248",NA,"Lewiston, ID-WA MSA",NA,0.75,178500,62153
"249",NA,"Lima, OH MSA",NA,0.62,113500,104425
"250",NA,"Little Rock-North Little Rock-Conway, AR MSA",NA,0.94,149900,730250
"251",NA,"Logan, UT-ID MSA",NA,0.74,200600,133821
"252",NA,"Longview, TX MSA",NA,0.67,123900,217781
"253",NA,"Longview, WA MSA",NA,0.4,187900,103468
"254",NA,"Lubbock, TX MSA",NA,NA,120700,312433
"255",NA,"Lynchburg, VA MSA",NA,NA,162900,260504
"256",NA,"Macon, GA MSA",NA,0.75,112500,231448
"257",NA,"Madera, CA MSA",NA,0.41,232800,154998
"258",NA,"Manchester-Nashua, NH MSA",NA,1.32,256200,406678
"259",NA,"Manhattan, KS MSA",NA,0.75,189300,98545
"260",NA,"Mankato-North Mankato, MN MSA",NA,1.41,172400,99134
"261",NA,"Mansfield, OH MSA",NA,0.7,102600,121707
"262",NA,"McAllen-Edinburg-Mission, TX MSA",NA,0.45,81700,842304
"263",NA,"Medford, OR MSA",NA,0.8,243500,212567
"264",NA,"Memphis, TN-MS-AR MSA",NA,0.48,139800,1343572
"265",NA,"Merced, CA MSA",NA,0.22,210100,268455
"266",NA,"Michigan City-La Porte, IN MSA",NA,0.28,126000,110884
"267",NA,"Midland, MI MSA",NA,1.13,138500,83632
"268",NA,"Midland, TX MSA",NA,NA,195800,165427
"269",NA,"Milwaukee-Waukesha-West Allis, WI MSA",NA,0.87,198600,1575747
"270",NA,"Mobile, AL MSA",NA,0.56,120500,415395
"271",NA,"Modesto, CA MSA",NA,0.26,243500,538388
"272",NA,"Monroe, LA MSA",NA,1.33,124100,179238
"273",NA,"Monroe, MI MSA",NA,0.31,145800,149568
"274",NA,"Montgomery, AL MSA",NA,NA,138000,375435
"275",NA,"Morgantown, WV MSA",NA,0.63,163700,138176
"276",NA,"Morristown, TN MSA",NA,0.41,134000,116642
"277",NA,"Mount Vernon-Anacortes, WA MSA",NA,0.34,255900,121846
"278",NA,"Muncie, IN MSA",NA,0.33,94100,116852
"279",NA,"Muskegon, MI MSA",NA,0.6,105400,172790
"280",NA,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",NA,0.8,177300,431964
"281",NA,"Napa, CA MSA",NA,0.3,555900,142456
"282",NA,"Naples-Immokalee-Marco Island, FL MSA",NA,0.54,315000,357305
"283",NA,"New Bern, NC MSA",NA,NA,149500,125066
"284",NA,"New Haven-Milford, CT MSA",NA,0.64,244400,859470
"285",NA,"Niles-Benton Harbor, MI MSA",NA,0.37,141200,154636
"286",NA,"North Port-Sarasota-Bradenton, FL MSA",NA,0.63,208100,768918
"287",NA,"Norwich-New London, CT MSA",NA,0.42,240900,271863
"288",NA,"Ocala, FL MSA",NA,0.41,120500,343254
"289",NA,"Ocean City, NJ MSA",NA,0.28,311800,94727
"290",NA,"Odessa, TX MSA",NA,0.28,126100,159436
"291",NA,"Ogden-Clearfield, UT MSA",NA,NA,216200,644030
"292",NA,"Olympia-Tumwater, WA MSA",NA,0.44,244800,269536
"293",NA,"Omaha-Council Bluffs, NE-IA MSA",NA,1.25,155200,915557
"294",NA,"Orlando-Kissimmee-Sanford, FL MSA",NA,1.04,176100,2387138
"295",NA,"Oshkosh-Neenah, WI MSA",NA,0.85,144200,169546
"296",NA,"Owensboro, KY MSA",NA,0.45,115000,117967
"297",NA,"Oxnard-Thousand Oaks-Ventura, CA MSA",NA,0.81,528700,850536
"298",NA,"Palm Bay-Melbourne-Titusville, FL MSA",NA,0.55,158800,568088
"299",NA,"Panama City, FL MSA",NA,0.66,164900,197723
"300",NA,"Parkersburg-Vienna, WV MSA",NA,NA,109000,92776
"301",NA,"Pensacola-Ferry Pass-Brent, FL MSA",NA,0.7,142700,478043
"302",NA,"Peoria, IL MSA",NA,NA,137100,376987
"303",NA,"Pine Bluff, AR MSA",NA,NA,81900,94489
"304",NA,"Pittsfield, MA MSA",NA,0.62,209400,127828
"305",NA,"Pocatello, ID MSA",NA,0.6,151500,83744
"306",NA,"Port St. Lucie, FL MSA",NA,0.46,165800,454846
"307",NA,"Prescott, AZ MSA",NA,0.47,216300,222255
"308",NA,"Provo-Orem, UT MSA",NA,NA,251600,585257
"309",NA,"Pueblo, CO MSA",NA,0.57,148000,163591
